Date, Close/Last, Volume, Open, High, Low
01/15/2021, $1.88, 183763, $2.04, $2.04, $1.85
01/14/2021, $2.02, 262554, $1.99, $2.1, $1.95
01/13/2021, $2.04, 377109, $2.05, $2.05, $1.92
01/12/2021, $2.0692, 1392546, $1.94, $2.08, $1.92
01/11/2021, $1.92, 134173, $1.9, $1.95, $1.8
01/08/2021, $1.88, 233631, $2.02, $2.04, $1.8507
01/07/2021, $2.06, 788882, $1.86, $2.09, $1.81
01/06/2021, $1.79, 251765, $1.73, $1.87, $1.67
01/05/2021, $1.77, 123744, $1.7, $1.79, $1.64
01/04/2021, $1.71, 97324, $1.76, $1.8199, $1.68
12/31/2020, $1.78, 142798, $1.79, $1.82, $1.76
12/30/2020, $1.83, 94756, $1.8, $1.87, $1.79
12/29/2020, $1.8, 304020, $2.02, $2.02, $1.78
12/28/2020, $1.96, 398016, $1.9, $2.07, $1.88
12/24/2020, $1.93, 98338, $2.01, $2.03, $1.9202
12/23/2020, $2.03, 246902, $1.97, $2.05, $1.95
12/22/2020, $2.03, 282329, $1.97, $2.06, $1.9
12/21/2020, $1.94, 272358, $2.07, $2.07, $1.94
12/18/2020, $2.09, 802005, $2.056, $2.25, $2.01
12/17/2020, $2.12, 914698, $1.97, $2.13, $1.91
12/16/2020, $2.06, 217176, $2.06, $2.06, $1.92
12/15/2020, $2.11, 726135, $1.9, $2.18, $1.83
12/14/2020, $1.96, 384280, $1.98, $2.04, $1.84
12/11/2020, $2, 469252, $2.03, $2.13, $1.95
12/10/2020, $2.06, 717142, $2, $2.16, $1.93
12/09/2020, $2.03, 1025181, $2.2, $2.23, $1.9671
12/08/2020, $2.18, 1259659, $2.15, $2.29, $2.1
12/07/2020, $2.26, 2150515, $2.28, $2.39, $2.2
12/04/2020, $2.58, 122530800, $4.03, $5.4, $2.5
12/03/2020, $1.76, 2643514, $1.6, $1.77, $1.4715
12/02/2020, $1.45, 87122, $1.52, $1.52, $1.43
12/01/2020, $1.52, 25465, $1.47, $1.54, $1.45
11/30/2020, $1.46, 72116, $1.59, $1.6, $1.45
11/27/2020, $1.5, 23561, $1.45, $1.5, $1.45
11/25/2020, $1.43, 57060, $1.39, $1.5399, $1.39
11/24/2020, $1.41, 105298, $1.45, $1.5, $1.4
11/23/2020, $1.41, 95194, $1.56, $1.56, $1.35
11/20/2020, $1.47, 91257, $1.6, $1.6196, $1.42
11/19/2020, $1.65, 496404, $1.88, $1.9, $1.55
11/18/2020, $1.79, 1242796, $1.38, $1.79, $1.3661
11/17/2020, $1.38, 8684, $1.33, $1.4052, $1.33
11/16/2020, $1.38, 6682, $1.34, $1.39, $1.29
11/13/2020, $1.39, 21215, $1.39, $1.4754, $1.33
11/12/2020, $1.39, 10875, $1.39, $1.39, $1.2801
11/11/2020, $1.39, 25926, $1.4, $1.4001, $1.31
11/10/2020, $1.46, 32091, $1.32, $1.49, $1.28
11/09/2020, $1.36, 64072, $1.43, $1.463, $1.26
11/06/2020, $1.38, 41127, $1.31, $1.48, $1.25
11/05/2020, $1.31, 28222, $1.3109, $1.32, $1.285
11/04/2020, $1.3342, 4581, $1.37, $1.37, $1.32
11/03/2020, $1.31, 9569, $1.28, $1.3398, $1.28
11/02/2020, $1.32, 42301, $1.33, $1.43, $1.3
10/30/2020, $1.35, 159638, $1.227, $1.39, $1.18
10/29/2020, $1.26, 31809, $1.24, $1.335, $1.24
10/28/2020, $1.23, 25215, $1.25, $1.28, $1.21
10/27/2020, $1.3614, 5404, $1.3, $1.3614, $1.3
10/26/2020, $1.36, 7895, $1.33, $1.39, $1.31
10/23/2020, $1.42, 54575, $1.44, $1.5319, $1.35
10/22/2020, $1.52, 57774, $1.5, $1.64, $1.4
10/21/2020, $1.51, 169997, $1.61, $1.6299, $1.34
10/20/2020, $1.54, 166076, $1.34, $1.6389, $1.33
10/19/2020, $1.39, 215078, $1.29, $1.4272, $1.25
10/16/2020, $1.32, 475625, $1.3, $1.39, $1.21
10/15/2020, $1.54, 10629120, $1.06, $1.96, $1
10/14/2020, $1.0262, 3138, $1.0501, $1.0501, $1
10/13/2020, $1.04, 11347, $1.09, $1.09, $1.03
10/12/2020, $1.035, 15514, $0.9991, $1.05, $0.9991
10/09/2020, $1.03, 43127, $1.0327, $1.1099, $0.99
10/08/2020, $1.06, 12611, $1.04, $1.08, $1.01
10/07/2020, $1.08, 7874, $1.06, $1.15, $1.041
10/06/2020, $1.1, 17691, $1.14, $1.15, $1.0301
10/05/2020, $1.105, 15054, $1.24, $1.24, $1.0594
10/02/2020, $1.16, 29023, $1.26, $1.28, $1.155
10/01/2020, $1.2194, 127617, $1.06, $1.28, $1.03
09/30/2020, $1.08, 44444, $1.1, $1.1, $0.9821
09/29/2020, $1.05, 22071, $0.99, $1.05, $0.95
09/28/2020, $0.9899, 12633, $0.94, $0.99, $0.8621
09/25/2020, $0.9372, 31387, $0.898, $0.9748, $0.85
09/24/2020, $0.85, 17161, $0.85, $0.952, $0.85
09/23/2020, $0.8657, 41311, $0.8973, $0.9, $0.85
09/22/2020, $0.9041, 16218, $0.91, $0.93, $0.9
09/21/2020, $0.91, 9929, $0.92, $0.9374, $0.902
09/18/2020, $0.9236, 25455, $0.958, $0.958, $0.9002
09/17/2020, $0.96, 5322, $0.902, $0.96, $0.902
09/16/2020, $0.9677, 17170, $0.99, $0.99, $0.9
09/15/2020, $0.9864, 21087, $0.9702, $0.9975, $0.9402
09/14/2020, $0.976, 17128, $0.9925, $1.0096, $0.95
09/11/2020, $0.97, 19794, $0.9503, $0.97, $0.9501
09/10/2020, $0.97, 21074, $0.9902, $1.03, $0.9512
09/09/2020, $1.01, 59293, $0.941, $1.1, $0.941
09/08/2020, $0.974, 5950, $0.978, $0.978, $0.9201
09/04/2020, $0.982, 74239, $1.1, $1.15, $0.94
09/03/2020, $1.15, 202414, $1, $1.23, $1
09/02/2020, $1.03, 1038906, $1.28, $1.44, $0.8904
09/01/2020, $1.1666, 16506, $1.14, $1.176, $1.14
08/31/2020, $1.1202, 25305, $1.1074, $1.192, $1.1
08/28/2020, $1.13, 12897, $1.18, $1.2, $1.1
08/27/2020, $1.174, 21521, $1.14, $1.2, $1.14
08/26/2020, $1.1462, 24975, $1.2074, $1.2396, $1.14
08/25/2020, $1.1783, 19319, $1.134, $1.236, $1.134
08/24/2020, $1.16, 54773, $1.2798, $1.3398, $1.12
08/21/2020, $1.34, 84470, $1.4, $1.4, $1.28
08/20/2020, $1.44, 240279, $1.62, $1.62, $1.4274
08/19/2020, $1.96, 160560, $2.08, $2.08, $1.92
08/18/2020, $2.04, 80297, $1.958, $2.08, $1.958
08/17/2020, $2, 187625, $2.14, $2.24, $1.9
08/14/2020, $2.0374, 201155, $2.02, $2.3186, $2.02
08/13/2020, $1.9802, 77198, $2, $2.16, $1.9708
08/12/2020, $2.02, 245147, $1.9372, $2.36, $1.9372
08/11/2020, $1.9022, 41319, $2, $2.0038, $1.9022
08/10/2020, $1.91, 92636, $1.88, $2.08, $1.8526
08/07/2020, $1.88, 253024, $1.81, $1.978, $1.74
08/06/2020, $1.798, 24831, $1.7, $1.798, $1.7
08/05/2020, $1.7972, 36634, $1.74, $1.82, $1.726
08/04/2020, $1.7938, 68382, $1.86, $1.86, $1.7026
08/03/2020, $1.7712, 150501, $1.794, $1.794, $1.63
07/31/2020, $1.794, 2028096, $1.6, $2.88, $1.6
07/30/2020, $1.7398, 66533, $1.7112, $1.74, $1.6
07/29/2020, $1.7, 47744, $1.86, $1.88, $1.64
07/28/2020, $1.86, 156945, $1.81, $1.92, $1.7006
07/27/2020, $1.9, 216326, $1.5904, $1.92, $1.5624
07/24/2020, $1.6258, 40279, $1.66, $1.68, $1.52
07/23/2020, $1.68, 59621, $1.66, $1.74, $1.58
07/22/2020, $1.633, 99231, $1.52, $1.6798, $1.52
07/21/2020, $1.53, 27728, $1.5598, $1.5616, $1.48
07/20/2020, $1.502, 19710, $1.5404, $1.58, $1.4852
07/17/2020, $1.5502, 25710, $1.52, $1.5724, $1.48
07/16/2020, $1.5382, 24360, $1.6, $1.6, $1.46
07/15/2020, $1.5532, 38234, $1.478, $1.6, $1.44
07/14/2020, $1.4862, 25165, $1.46, $1.4998, $1.46
07/13/2020, $1.4706, 42614, $1.48, $1.54, $1.4704
07/10/2020, $1.5396, 24227, $1.66, $1.6798, $1.5026
07/09/2020, $1.658, 148772, $1.58, $1.6798, $1.54
07/08/2020, $1.5396, 64129, $1.5396, $1.5396, $1.4424
07/07/2020, $1.51, 24368, $1.443, $1.5396, $1.4424
07/06/2020, $1.52, 61055, $1.48, $1.5722, $1.4602
07/02/2020, $1.5, 58775, $1.522, $1.5836, $1.464
07/01/2020, $1.6, 25743, $1.5826, $1.7184, $1.5826
06/30/2020, $1.6, 54202, $1.738, $1.74, $1.6
06/29/2020, $1.74, 150294, $1.72, $1.9, $1.6022
06/26/2020, $1.7002, 27190, $1.7254, $1.76, $1.6082
06/25/2020, $1.74, 140831, $1.8584, $1.94, $1.608
06/24/2020, $1.8998, 261679, $1.604, $1.96, $1.5808
06/23/2020, $1.5796, 109447, $1.66, $1.66, $1.56
06/22/2020, $1.6482, 75486, $1.8, $1.89, $1.6222
06/19/2020, $1.7248, 422048, $1.82, $2.12, $1.7
06/18/2020, $1.7798, 178470, $1.72, $1.94, $1.6602
06/17/2020, $1.704, 405643, $1.96, $2.08, $1.66
06/16/2020, $2.12, 611411, $2.24, $2.32, $1.9022
06/15/2020, $2.58, 6604180, $3.1, $4.4, $2.42
06/12/2020, $1.5, 819749, $1.2, $1.5398, $1.142
06/11/2020, $1.07, 103687, $1.304, $1.34, $0.9624
06/10/2020, $1.28, 424386, $1.28, $1.56, $1.12
06/09/2020, $1.2, 199537, $1.044, $1.26, $1.0222
06/08/2020, $1.0598, 68333, $0.94, $1.0598, $0.94
06/05/2020, $0.956, 34618, $1.0148, $1.0198, $0.8802
06/04/2020, $0.9598, 14668, $0.92, $0.9844, $0.92
06/03/2020, $0.98, 18220, $0.94, $0.98, $0.9
06/02/2020, $0.94, 47438, $0.92, $1, $0.9
06/01/2020, $0.87, 14160, $0.844, $0.911, $0.8022
05/29/2020, $0.8992, 23929, $0.8848, $0.954, $0.8266
05/28/2020, $0.902, 30698, $0.825, $0.958, $0.8062
05/27/2020, $0.8572, 24360, $0.88, $0.896, $0.78
05/26/2020, $0.9, 54651, $0.9528, $0.96, $0.8
05/22/2020, $0.9076, 117877, $0.96, $1.2, $0.8652
05/21/2020, $0.9214, 113329, $0.891, $1, $0.822
05/20/2020, $1.08, 912949, $0.7998, $1.56, $0.7702
05/19/2020, $0.766, 7614, $0.8398, $0.84, $0.722
05/18/2020, $0.8228, 9504, $0.8, $0.8384, $0.724
05/15/2020, $0.8156, 12495, $0.8388, $0.8398, $0.74
05/14/2020, $0.8244, 10986, $0.8202, $0.849, $0.82
05/13/2020, $0.816, 33513, $0.8562, $0.8714, $0.8
05/12/2020, $0.856, 22140, $0.86, $0.87, $0.8532
05/11/2020, $0.86, 29861, $0.9, $0.9166, $0.8524
05/08/2020, $0.9, 77791, $0.9006, $0.9956, $0.84
05/07/2020, $1.0396, 554943, $0.84, $1.26, $0.8
05/06/2020, $0.8, 7669, $0.76, $0.84, $0.72
05/05/2020, $0.83, 2281, $0.816, $0.83, $0.72
05/04/2020, $0.814, 7465, $0.83, $0.83, $0.782
05/01/2020, $0.8, 2779, $0.81, $0.83, $0.78
04/30/2020, $0.7956, 14508, $0.76, $0.83, $0.76
04/29/2020, $0.76, 6372, $0.7202, $0.7798, $0.7202
